date_raw,date,year,month,week_of_year,vegetable,price_lkr,category,sub_category
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Leeks  1kg,125.65,Up Country Vegetables,Up Country
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Limes  1kg,520.85,Low Country Vegetables,Low Country
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Local Potatoes 1Kg,173.7,Potatoes,Potatoes
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Long Beans  1kg,138.75,Low Country Vegetables,Low Country
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Mukunuwenna  Bunch,35.33,Leaves,Leaves
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Nivithi  500g,49.38,Leaves,Leaves
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Raddish  1kg,103.53,Up Country Vegetables,Up Country
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Red Pumpkin  1kg,109.41,Low Country Vegetables,Low Country
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Sarana  Bunch,37.08,Leaves,Leaves
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Snake Gourd  1kg,124.12,Low Country Vegetables,Low Country
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Thampala  Bunch,37.14,Leaves,Leaves
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Tomatoe No1.  1kg,140.54,Up Country Vegetables,Up Country
W2.Jan.2017,2017-01-08,2017.0,1.0,1,Vetakolu  1kg,179.09,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Ash Plantain  1kg,130.29,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Ash Pumpkin  1kg,108.89,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Bandakka  1kg,128.65,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Beans Butter  1kg,180.0,Up Country Vegetables,Up Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Beans Green  1kg,125.29,Up Country Vegetables,Up Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Beet Root  1kg,125.37,Up Country Vegetables,Up Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Bitter Guard  1kg,249.44,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Brinjal  1kg,96.32,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Cabbagge Seed  1kg,89.14,Up Country Vegetables,Up Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Cap Chillies  1kg,254.71,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Carrot  1kg,130.26,Up Country Vegetables,Up Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Cucumber  1kg,135.0,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Drumstick  1kg,,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Gotukola  Bunch,29.17,Leaves,Leaves
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Green Chillies  1kg,351.61,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Imported Potatoes  1Kg,118.51,Potatoes,Potatoes
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Kankun  Bunch,34.62,Leaves,Leaves
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Kathurumurunga  Bunch,36.15,Leaves,Leaves
W3.Jan.2017,2017-01-15,2017.0,1.0,2,KnolKhol  1kg,146.0,Up Country Vegetables,Up Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Kohila Leaves  Bunch,36.25,Leaves,Leaves
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Kohila Yams  1kg,136.0,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Leeks  1kg,118.86,Up Country Vegetables,Up Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Limes  1kg,485.49,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Local Potatoes 1Kg,187.5,Potatoes,Potatoes
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Long Beans  1kg,128.28,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Mukunuwenna  Bunch,36.43,Leaves,Leaves
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Nivithi  500g,48.33,Leaves,Leaves
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Raddish  1kg,94.86,Up Country Vegetables,Up Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Red Pumpkin  1kg,110.86,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Sarana  Bunch,37.27,Leaves,Leaves
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Snake Gourd  1kg,130.34,Low Country Vegetables,Low Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Thampala  Bunch,37.27,Leaves,Leaves
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Tomatoe No1.  1kg,160.78,Up Country Vegetables,Up Country
W3.Jan.2017,2017-01-15,2017.0,1.0,2,Vetakolu  1kg,170.91,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Ash Plantain  1kg,133.14,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Ash Pumpkin  1kg,108.89,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Bandakka  1kg,132.0,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Beans Butter  1kg,171.43,Up Country Vegetables,Up Country
